Weather,Speed,Traffic,Road,Risk
Cloudy,59,High,Dry,Medium
Fog,90,Low,Wet,High
Cloudy,89,Medium,Wet,High
Cloudy,50,Low,Dry,Medium
Fog,36,High,Wet,Medium
Fog,100,Low,Wet,High
Sunny,66,Low,Dry,Medium
Fog,87,High,Wet,High
Cloudy,41,Low,Wet,Medium
Fog,33,Medium,Wet,Medium
Fog,60,Medium,Wet,Medium
Rainy,33,Medium,Wet,Medium
Rainy,47,Low,Wet,Medium
Cloudy,119,Low,Wet,High
Cloudy,108,Low,Dry,High
Sunny,62,Low,Dry,Medium
Cloudy,44,Medium,Dry,Medium
Fog,45,Low,Wet,Medium
Cloudy,38,Low,Wet,Medium
Sunny,110,High,Dry,High
Rainy,67,Medium,Wet,Medium
Fog,60,High,Wet,Medium
Sunny,97,Medium,Dry,High
Sunny,79,Medium,Dry,Medium
Cloudy,77,Medium,Dry,Medium
Fog,38,Medium,Wet,Medium
Sunny,104,High,Wet,High
Rainy,35,Medium,Wet,Medium
Rainy,117,Medium,Wet,High
Rainy,47,Low,Wet,Medium
Cloudy,34,Medium,Dry,Medium
Sunny,55,Low,Wet,Medium
Fog,95,Medium,Wet,High
Fog,34,High,Wet,Medium
Fog,36,High,Wet,Medium
Sunny,77,Medium,Wet,High
Cloudy,79,Medium,Dry,Medium
Cloudy,118,Medium,Wet,High
Fog,40,High,Wet,Medium
Cloudy,107,Low,Wet,High
Fog,43,Low,Wet,Medium
Fog,69,Medium,Wet,Medium
Cloudy,51,High,Wet,Medium
Fog,87,Low,Wet,High
Fog,108,Medium,Wet,High
Sunny,39,High,Wet,Medium
Fog,95,High,Wet,High
Sunny,48,High,Wet,Medium
Sunny,46,Low,Dry,Low
Fog,76,Medium,Dry,Medium
Rainy,116,Medium,Wet,High
Cloudy,39,High,Dry,Medium
Fog,80,Medium,Wet,High
Rainy,44,Low,Wet,Medium
Cloudy,96,Medium,Dry,High
Fog,63,High,Wet,Medium
Fog,118,Medium,Wet,High
Rainy,39,Medium,Wet,Medium
Cloudy,41,High,Wet,Medium
Fog,120,Low,Wet,High
Fog,68,Low,Wet,Medium
Rainy,76,High,Wet,High
Rainy,47,Low,Wet,Medium
Sunny,76,High,Wet,High
Cloudy,100,Low,Dry,High
Sunny,69,Medium,Wet,Medium
Cloudy,82,High,Dry,High
Rainy,70,High,Wet,High
Cloudy,117,High,Wet,High
Rainy,100,High,Wet,High
Rainy,85,High,Dry,High
Sunny,96,Low,Wet,High
Rainy,50,Medium,Dry,Medium
Fog,96,Medium,Wet,High
Rainy,111,High,Wet,High
Fog,108,High,Wet,High
Rainy,105,High,Wet,High
Fog,102,Low,Dry,High
Sunny,35,High,Wet,Medium
Rainy,103,Medium,Wet,High
Sunny,93,High,Wet,High
Fog,91,Low,Wet,High
Fog,88,Low,Wet,High
Rainy,86,Medium,Wet,High
Rainy,73,High,Wet,High
Fog,74,Medium,Wet,High
Fog,95,High,Wet,High
Rainy,89,Low,Wet,High
Rainy,48,Low,Wet,Medium
Cloudy,108,Medium,Dry,High
Rainy,71,High,Wet,High
Rainy,50,Medium,Wet,Medium
Cloudy,69,Medium,Dry,Medium
Sunny,80,High,Wet,High
Rainy,57,High,Wet,High
Sunny,66,Medium,Wet,Medium
Fog,98,Low,Wet,High
Rainy,63,High,Wet,High
Cloudy,76,Low,Wet,High
Sunny,102,High,Dry,High
Fog,100,Medium,Wet,High
Cloudy,100,Medium,Dry,High
Rainy,42,Medium,Wet,Medium
Fog,101,Medium,Wet,High
Rainy,107,High,Wet,High
Sunny,35,Low,Dry,Low
Fog,90,High,Wet,High
Rainy,71,High,Wet,High
